Symbol,Underlying Asset,SecurityName,DateofListing,MarketLot,ISINNumber,FaceValue,ETF Underlying,Underlying Key
CONSUMBEES,Nifty India Consumption TRI,NIPINDETFCONSUMPTION,11-Apr-14,1,INF204KA1LD7,10,EQUITY,Nifty India Consumption 
DIVOPPBEES,Nifty Dividend Opportunities 50 TRI,NIPINDETFDIVOPP,23-Apr-14,1,INF204KA1MS3,10,EQUITY,Nifty Dividend Opportunities 50
SENSEXIETF,SENSEX,ICICIPruSensexETF,23-Jul-14,1,INF346A01034,10,EQUITY,BSE Sensex
BANKNIFTY1,Nifty Bank,KOTAKMAMC-KOTAKBKETF,11-Dec-14,1,INF174KA1ZB7,10,EQUITY,Nifty Bank
LICNETFGSC,Nifty 8-13 Yr Gsec,LICNAMC-LICNMFET,01-Jan-15,1,INF767K01MV5,10,DEBT,GSECS/GILT
SETFNIFBK,Nifty Bank,SBI-ETFNiftyBank,25-Mar-15,1,INF200KA1580,10,EQUITY,Nifty Bank
SETFNN50,Nifty Next 50,SBI-ETFNiftyNext50,25-Mar-15,1,INF200KA1598,10,EQUITY,Nifty Next 50
NV20BEES,Nifty50 Value20 TRI,NIPINDETFETFNV20,23-Jun-15,1,INF204KB18I3,1,EQUITY,Nifty 50 Value 20
SETFNIF50,Nifty 50,SBI-ETFNifty50,27-Jul-15,1,INF200KA1FS1,10,EQUITY,Nifty 50
NIFTYBETA,Nifty 50,UTIAMC-NIFTYBETA,03-Sep-15,1,INF789F1AZC0,10,EQUITY,Nifty 50
SENSEXBETA,SENSEX,UTIAMC-SENSEXBETA,03-Sep-15,1,INF789FB1X58,10,EQUITY,BSE Sensex
LICNETFN50,Nifty 50,LICNAMC-LICNFENGP,30-Nov-15,1,INF767K01OS7,10,EQUITY,Nifty 50
LICNETFSEN,SENSEX,LICNAMC-LICNFESGP,07-Dec-15,1,INF767K01OT5,10,EQUITY,BSE Sensex
NV20,Nifty50 Value 20,KOTAKMAMC-KTKNV20ETF,09-Dec-15,1,INF174KA1ZE1,10,EQUITY,Nifty 50 Value 20
HDFCNIFTY,Nifty 50,HDFCAMC-HDFCNIFTY,16-Dec-15,1,INF179KC1965,76,EQUITY,Nifty 50
HDFCSENSEX,SENSEX,HDFCAMC-HDFCSENSEX,16-Dec-15,1,INF179KC1HX2,250,EQUITY,BSE Sensex
LICNFNHGP,Nifty 100,LICNAMC-LICNFNHGP,28-Mar-16,1,INF767K01PC8,10,EQUITY,Nifty 100
SETF10GILT,Nifty 10 yr Benchmark G-Sec Index,SBIAMC-SETF10GILT,17-Jun-16,1,INF200KA1JT1,10,DEBT,GSECS/GILT
NV20IETF,Nifty50 Value 20,ICICIPruNV20ETF,22-Jun-16,1,INF109KC11V0,10,EQUITY,Nifty 50 Value 20
MIDSELIETF,S&P BSE Midcap Select Index,ICICIPruMidcapSelETF,11-Jul-16,1,INF109KC10W0,10,EQUITY,BSE Midcap Select
LTGILTBEES,NIFTY 8-13 yr G-Sec Index,NIPINDETFLONGTERMGILT,11-Jul-16,1,INF204KB1882,10,DEBT,GSECS/GILT
IDFNIFTYET,Nifty 50,BANDHANAMC-IDFNIFTYET,18-Oct-16,1,INF194KA1U07,10,EQUITY,Nifty 50
NIFTYAXIS,Nifty 50,AXISAMC-NIFTYAXIS,10-Jul-17,1,INF846K01W98,10,EQUITY,Nifty 50
LOWVOLIETF,Nifty 100 Low Volatility 30 Index,ICICIPruNiftyLowvol30,10-Jul-17,1,INF109KC19U5,10,EQUITY,Nifty 100 Low Volatility 30
NEXT50BETA,Nifty Next 50,UTIAMC -NEXT50BETA,08-Aug-17,1,INF789F1AUW9,1,EQUITY,Nifty Next 50
ICICIB22,S&P BSE BHARAT 22 index,ICICIPRAMC-BHARATIWIN,28-Nov-17,1,INF109KB15Y7,10,EQUITY,BSE BHARAT 22
LIQUIDETF,Nifty1D rate index,DSPAMC-LIQUIDETF,20-Mar-18,1,INF740KA1EU7,1000,DEBT,Overnight ETFs and Liquid ETF
BSE500IETF,S&P BSE 500 index,ICICIPRAMC-ICICI500,16-May-18,1,INF109KC1V59,10,EQUITY,BSE 500
NEXT50IETF,Nifty Next 50,ICICIPRAMC-ICICINXT50,30-Aug-18,1,INF109KC1NS5,1,EQUITY,Nifty Next 50
LIQUIDIETF,S&P BSE Liquid Rate Index,ICICIPRAMC-ICICILIQ,26-Sep-18,1,INF109KC1KT9,1000,DEBT,Overnight ETFs and Liquid ETF
NIFTYETF,Nifty 50,MIRAEAMC-MAN50ETF,26-Nov-18,1,INF769K01EG9,100,EQUITY,Nifty 50
SBIETFQLTY,Nifty 200 Quality 30 Index,SBIAMC-SBIETFQLTY,17-Dec-18,1,INF200KA1WX6,10,EQUITY,Nifty 200 Quality 30
ABSLNN50ET,Nifty Next 50,BIRLASLAMC-ABSLNN50ET,21-Dec-18,1,INF209KB16D7,10,EQUITY,Nifty Next 50
NETF,Tata Nifty 50 Exchange Traded Fund,TATAAML-NETF,04-Jan-19,1,INF277K015R5,10,EQUITY,Nifty 50
MID150BEES,Nifty Midcap 150 TRI,NIPINDETFMIDCAP150,04-Feb-19,1,INF204KB1V68,10,EQUITY,Nifty Midcap 150
SNXT50BETA,BSE Sensex Next 50,UTIAMC-SNXT50BETA,13-Mar-19,1,INF789F1AUU3,1,EQUITY,BSE SENSEX Next 50
BANKIETF,Nifty Bank,ICICIPRAMC-IPRU5008,15-Jul-19,1,INF109KC15I8,10,EQUITY,Nifty Bank
PVTBANIETF,Nifty Private Bank Index,ICICIPRAMC-ICICIBANKP,14-Aug-19,1,INF109KC18U7,10,EQUITY,Nifty Private Bank
NPBET,Nifty Private Bank Index,TATAAML-NPBET,09-Sep-19,1,INF277K010X4,10,EQUITY,Nifty Private Bank
ABSLBANETF,Nifty Bank,BIRLASLAMC-ABSLBANETF,30-Oct-19,1,INF209KB17D5,10,EQUITY,Nifty Bank
EBBETF0430,Nifty BHARAT Bond,EDELAMC-EBBETF0430,02-Jan-20,1,INF754K01KO2,1000,DEBT,Bond
MIDCAPIETF,Nifty Midcap 150,ICICIPRAMC-ICICIM150,28-Jan-20,1,INF109KC11W8,10,EQUITY,Nifty Midcap 150
NEXT50,Nifty Next 50,MIRAEAMC-MANXT50,30-Jan-20,1,INF769K01FN2,275,EQUITY,Nifty Next 50
ITBEES,Nifty IT TRI,NIPINDETFIT,01-Jul-20,1,INF204KB15V2,10,EQUITY,Nifty IT
EBBETF0431,Nifty BHARAT Bond,EDELAMC-EBBETF0431,29-Jul-20,1,INF754K01LE1,1000,DEBT,Bond
ALPL30IETF,Nifty Alpha Low-Volatility 30 Index,ICICIPRAMC-ICICIALPLV,18-Aug-20,1,INF109KC17V7,10,EQUITY,Nifty Alpha Low-Volatility 30
ITIETF,Nifty IT Index,ICICIPRAMC-ICICITECH,20-Aug-20,1,INF109KC16I6,10,EQUITY,Nifty IT
HDFCNIFBAN,Nifty Bank,HDFCAMC-HDFCNIFBAN,28-Aug-20,1,INF179KC1HY0,223.31,EQUITY,Nifty Bank
BANKBETA,Nifty Bank,UTIAMC-BANKBETA,03-Sep-20,1,INF789F1AUV1,1,EQUITY,Nifty Bank
SBIETFIT,Nifty IT Index,SBIAMC-SBIETFIT,22-Oct-20,1,INF200KA1S14,10,EQUITY,Nifty IT
SBIETFPB,Nifty Private Bank Index,SBIAMC-SBIETFPB,22-Oct-20,1,INF200KA1S22,10,EQUITY,Nifty Private Bank
BNKETFAXIS,Nifty Bank,AXISAMC-BNKETFAXIS,09-Nov-20,1,INF846K01X63,100,EQUITY,Nifty Bank
ESG,NIFTY100 ESG SECTOR LEADERS,MIRAEAMC-MAESGETF,24-Nov-20,1,INF769K01GS9,17.5,EQUITY,Nifty 100 ESG Sector Leaders
MOGSEC,Nifty 5 yr Benchmark G-Sec Index,MOTILALAMC-G5,16-Dec-20,1,INF247L01AK4,10,DEBT,GSECS/GILT
IT,NIFTY IT Index,KOTAKMAMC-KOTAKIT,05-Mar-21,1,INF174KA1GC5,10,EQUITY,NIFTY IT
ITAXIS,NIFTY IT Index,AXISAMC-ITAXIS,31-Mar-21,1,INF846K01Y96,100,EQUITY,Nifty IT
GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index,RELCAPAMC-NETFGILT5Y,08-Apr-21,1,INF204KC1030,10,DEBT,GSECS/GILT
MAFANG,NYSE FANG+ Total Return Index,MIRAEAMC-MAFANG,14-May-21,1,INF769K01HF4,40,GLOBAL INDICES,GLOBAL INDICES
HEALTHAXIS,Nifty Healthcare Index,AXISAMC-HEALTHAXIS,21-May-21,1,INF846K01Z12,10,EQUITY,Nifty Healthcare
HEALTHIETF,Nifty Healthcare Index,ICICIPRAMC-ICICIPHARM,25-May-21,1,INF109KC1Q72,10,EQUITY,Nifty Healthcare
PHARMABEES,Nifty Pharma TRI,NIPPONAMC-NETFPHARMA,07-Jul-21,1,INF204KC1089,10,EQUITY,Nifty Pharma
SBIETFCON,Nifty India Consumption Index,SBIAMC-SBIETFCON,29-Jul-21,1,INF200KA1X17,10,EQUITY,Nifty India Consumption 
BFSI,Nifty Financial Services Index,MIRAEAMC-MAFSETF,05-Aug-21,1,INF769K01HI8,10,EQUITY,Nifty Financial Services
FMCGIETF,Nifty FMCG Index,ICICIPRAMC-ICICIFMCG,10-Aug-21,1,INF109KC19V3,10,EQUITY,Nifty FMCG
CONSUMAXIS,NIFTY India Consumption Index,AXISAMC-CONSUMAXIS,23-Sep-21,1,INF846K016C7,10,EQUITY,Nifty India Consumption 
MASPTOP50,S&P 500 Top 50 Total Return Index,MIRAEAMC-MASPTOP50,24-Sep-21,1,INF769K01HP3,20,GLOBAL INDICES,GLOBAL INDICES
BSLSENETFG,BSE SENSEX Index,BIRLASLAMC-BSLSENETFG,06-Oct-21,1,INF209KB10E8,10,EQUITY,BSE SENSEX
HEALTHY,Nifty Healthcare TRI,BIRLASLAMC-HEALTHY,28-Oct-21,1,INF209KB10C2,1,EQUITY,Nifty Healthcare
CONSUMIETF,Nifty India Consumption Index,ICICIPRAMC-ICICICONSU,02-Nov-21,1,INF109KC1V42,10,EQUITY,Nifty India Consumption 
TECH,Nifty IT TRI Index,BIRLASLAMC-TECH,03-Nov-21,1,INF209KB11D8,1,EQUITY,Nifty IT
EQUAL50ADD,NIFTY 50 Equal Weight Index,DSPAMC-DSPNEWETF,12-Nov-21,1,INF740KA1QK2,10,EQUITY,NIFTY 50 Equal Weight
MAHKTECH,Hang Seng TECH Total Return Index,MIRAEAMC-MAHKTECH,10-Dec-21,1,INF769K01HS7,10,GLOBAL INDICES,GLOBAL INDICES
BBETF0432,Nifty BHARAT Bond Index - April 2032,EDELAMC-BBETF0432,17-Dec-21,1,INF754K01OB1,1000,DEBT,Bond
ALPHA,NIFTY Alpha 50 Index,KOTAKMAMC-KOTAKALPHA,29-Dec-21,1,INF174KA1IA5,10,EQUITY,NIFTY Alpha 50
MONQ50,Nasdaq Q-50 Total Return Index,MOTILALAMC-MONQ50,29-Dec-21,1,INF247L01AU3,10,GLOBAL INDICES,GLOBAL INDICES
NIFTYADD,Nifty 50 Index,DSPAMC - DSPNIFTY,30-Dec-21,1,INF740KA1CL0,10,EQUITY,Nifty 50
MIDQ50ADD,Nifty Midcap 150 Quality 50 Index,DSPAMC-DSPQ50ETF,30-Dec-21,1,INF740KA1ZF3,1,EQUITY,Nifty Midcap 150 Quality 50
AUTOIETF,Nifty Auto Index,ICICIPRAMC-ICICIAUTO,18-Jan-22,1,INF109KC10V2,10,EQUITY,Nifty Auto
AUTOBEES,Nifty Auto TRI,NIPPONAMC-NETFAUTO,25-Jan-22,1,INF204KC1337,10,EQUITY,Nifty Auto
SILVERIETF,Domestic Price of Silver,ICICIPRAMC-ICICISILVE,31-Jan-22,1,INF109KC1Y56,10,COMMODITY,SILVER
MAKEINDIA,Nifty India Manufacturing Total Return Index,MIRAEAMC-MAMFGETF,02-Feb-22,1,INF769K01IB1,50,EQUITY,Nifty India Manufacturing
SILVER,Physical price of Silver,BIRLASLAMC-SILVER,03-Feb-22,1,INF209KB19F6,1,COMMODITY,SILVER
MIDCAP,Nifty Midcap 50 Index,KOTAKMAMC-KOTAKMID50,04-Feb-22,1,INF174KA1ZC5,10,EQUITY,NIFTY Midcap 50
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,NIPPONAMC-SILVERBEES,07-Feb-22,1,INF204KC1402,10,COMMODITY,SILVER
MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index,MOTILALAMC-MOMOMENTUM,17-Feb-22,1,INF247L01BK2,10,EQUITY,Nifty 200 Momentum 30
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index,ICICIPRAMC-ICICI5GSEC,10-Mar-22,1,INF109KC14A8,10,DEBT,GSECS/GILT
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,MIRAEAMC-MAM150ETF,15-Mar-22,1,INF769K01IC9,5,EQUITY,Nifty Midcap 150
LOWVOL1,Kotak Nifty 100 Low Vol 30 ETF,KOTAKMAMC-KOTAKLOVOL,29-Mar-22,1,INF174KA1IY5,10,EQUITY,NIFTY 100 Low Volatility 30
MOLOWVOL,Nifty Midcap 100 TRI,MOTILALAMC-MOLOWVOL,30-Mar-22,1,INF247L01BL0,10,EQUITY,Nifty Midcap 100
TNIDETF,Nifty India Digital Index,TATAAML-TNIDETF,08-Apr-22,1,INF277KA1364,10,EQUITY,Nifty Private Bank
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,MOTILALAMC-MOHEALTH,04-Aug-22,1,INF247L01BB1,10,EQUITY,BSE Healthcare
CONS,Kotak Nifty India Consumption ETF,KOTAKMAMC-KOTAKCONS,04-Aug-22,1,INF174KA1ZF8,10,EQUITY,Nifty India Consumption 
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,ICICIPRAMC-ICICIMOM30,10-Aug-22,1,INF109KC17C7,10,EQUITY,Nifty 200 Momentum 30
HDFCNEXT50,HDFC NIFTY NEXT 50 ETF,HDFCAMC-HDFCNEXT50,11-Aug-22,1,INF179KC1HS2,418.18,EQUITY,Nifty Next 50
HDFCNIF100,HDFC NIFTY 100 ETF,HDFCAMC-HDFCNIF100,11-Aug-22,1,INF179KC1HR4,177.27,EQUITY,Nifty 100
MNC,Kotak Nifty MNC ETF,KOTAKMAMC-KOTAKMNC,16-Aug-22,1,INF174KA1JF2,10,EQUITY,Nifty MNC
MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,BIRLASLAMC-MOMENTUM,19-Aug-22,1,INF209KB14K7,1,EQUITY,Nifty 200 Momentum 30
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,BIRLASLAMC-NIFTYQLITY,19-Aug-22,1,INF209KB15K4,1,EQUITY,Nifty 200 Quality 30
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF,ICICIPRAMC-ICICIINFRA,23-Aug-22,1,INF109KC16E5,10,EQUITY,Nifty Infrastructure
SILVERADD,DSP Silver ETF,DSPAMC-DSPSILVETF,25-Aug-22,1,INF740KA1ZQ0,1,COMMODITY,SILVER
MOQUALITY,Motilal Oswal S&P BSE Quality ETF,MOTILALAMC-MOQUALITY,26-Aug-22,1,INF247L01BH8,10,EQUITY,BSE Quality
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,MOTILALAMC-MOVALUE,26-Aug-22,1,INF247L01BE5,10,EQUITY,BSE Enhanced Value
HDFCSILVER,HDFC Silver ETF,HDFCAMC-HDFCSILVER,07-Sep-22,1,INF179KC1DI2,52.52,COMMODITY,SILVER
SILVERAXIS,Axis Silver ETF,AXISAMC-SILVERAXIS,27-Sep-22,1,INF846K011K1,10,COMMODITY,SILVER
HDFCVALUE,HDFC NIFTY50 Value 20 ETF,HDFCAMC-HDFCVALUE,29-Sep-22,1,INF179KC1DK8,86.07,EQUITY,Nifty 50 Value 20
HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF,HDFCAMC-HDFCGROWTH,29-Sep-22,1,INF179KC1DJ0,89.04,EQUITY,Nifty Growth Sectors 15
HDFCQUAL,HDFC NIFTY100 Quality 30 ETF,HDFCAMC-HDFCQUAL,29-Sep-22,1,INF179KC1DL6,38.59,EQUITY,Nifty 100 Quality 30
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,HDFCAMC-HDFCLOWVOL,17-Oct-22,1,INF179KC1HU8,126.18,EQUITY,Nifty 100 Low Volatility 30
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,HDFCAMC-HDFCMOMENT,17-Oct-22,1,INF179KC1HV6,190.61,EQUITY,Nifty 200 Momentum 30
HDFCNIFIT,HDFC NIFTY IT ETF,HDFCAMC-HDFCNIFIT,22-Nov-22,1,INF179KC1IA8,299.92,EQUITY,Nifty IT
HDFCPVTBAN,HDFC NIFTY Private Bank ETF,HDFCAMC-HDFCPVTBAN,22-Nov-22,1,INF179KC1HZ7,216.75,EQUITY,Nifty Private Bank
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,ICICIPRAMC-ICICIFIN,30-Nov-22,1,INF109KC17L8,10,EQUITY,Nifty Financial Services Ex-Bank
SILVER1,Kotak Silver ETF,KOTAKMAMC-KOTAKSILVE,14-Dec-22,1,INF174KA1ZD3,10,COMMODITY,SILVER
GSEC10IETF,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,ICICIPRAMC-ICICI10GS,16-Dec-22,1,INF109KC18O0,10,DEBT,GSECS/GILT
EBBETF0433,BHARAT Bond ETF-April 2033,EDELAMC-EBBETF0433,16-Dec-22,1,INF754K01QX0,1000,DEBT,Bond
COMMOIETF,ICICI Prudential Nifty Commodities ETF,ICICIPRAMC-ICICICOMMO,21-Dec-22,1,INF109KC19O8,10,EQUITY,Nifty Commodities
BANKADD,DSP Nifty Bank ETF,DSPAMC-DSPBANK,06-Jan-23,1,INF740KA1RX3,10,EQUITY,Nifty Bank
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,KOTAKMAMC-KOTAKLIQ,01-Feb-23,1,INF174KA1LV5,1000,DEBT,Overnight ETFs and Liquid ETF
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,HDFCAMC-HDFCSML250,21-Feb-23,1,INF179KC1FB2,91.31,EQUITY,Nifty Smallcap 250
HDFCMID150,HDFC NIFTY Midcap 150 ETF,HDFCAMC-HDFCMID150,21-Feb-23,1,INF179KC1HT0,115.95,EQUITY,Nifty Midcap 150
HDFCBSE500,HDFC S&P BSE 500 ETF,HDFCAMC-HDFCBSE500,21-Feb-23,1,INF179KC1EZ4,23.86,EQUITY,BSE 500
GOLDETF,Mirae Asset Gold ETF,MIRAEAMC-MAGOLDETF,24-Feb-23,1,INF769K01JP9,10,COMMODITY,GOLD
ABSLLIQUID,Aditya Birla Sun Life CRISIL Overnight Fund AI ETF,BIRLASLAMC-ABSLLIQUID,16-Mar-23,1,INF209KB18T9,1000,DEBT,Overnight ETFs and Liquid ETF
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,ICICIPRAMC-PSUBANKICI,21-Mar-23,1,INF109KC10S8,10,EQUITY,Nifty PSU Bank
SENSEXAXIS,AXIS S&P BSE SENSEX ETF,AXISAMC-SENSEXAXIS,29-Mar-23,1,INF846K010Q0,10,EQUITY,BSE Sensex
LOWVOL,Mirae Asset Nifty 100 Low Volatility 30 ETF,MIRAEAMC-MANV30F,31-Mar-23,1,INF769K01JU9,100,EQUITY,Nifty 100 Low Volatility 30
GSEC10YEAR,Mirae Asset Nifty 8-13 yr G-Sec ETF,MIRAEAMC-MAGS813ETF,10-Apr-23,1,INF769K01KF8,10,DEBT,GSECS/GILT
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),UTIAMC-SILVERBETA,20-Apr-23,1,INF789F1AYK6,75.81,COMMODITY,SILVER
GOLDADD,DSP Gold ETF,DSPAMC - DSPGOLD,05-May-23,1,INF740KA1ZP2,1,COMMODITY,GOLD
SILVERAG,Mirae Asset Silver ETF,MIRAEAMC-MASILVER,15-Jun-23,1,INF769K01KG6,10,COMMODITY,SILVER
ITADD,DSP Nifty IT ETF,DSPAMC - DSPIT,13-Jul-23,1,INF740KA1SX1,10,EQUITY,Nifty IT
BANKETF,Mirae Asset Nifty Bank ETF,MIRAEAMC-BANKETF,26-Jul-23,1,INF769K01KR3,400,EQUITY,Nifty Bank
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF,MIRAEAMC-LIQUID,31-Jul-23,1,INF769K01KS1,1000,DEBT,Overnight ETFs and Liquid ETF
PVTBANKADD,DSP Nifty Private Bank ETF,DSPAMC-DSPPVBKETF,02-Aug-23,1,INF740KA1TA7,10,EQUITY,Nifty Private Bank
PSUBANKADD,DSP Nifty PSU Bank ETF,DSPAMC-DSPPSBKETF,02-Aug-23,1,INF740KA1SY9,10,EQUITY,Nifty PSU Bank
SENSEXADD,DSP S&P BSE Sensex ETF,DSPAMC-DSPSENXETF,02-Aug-23,1,INF740KA1SZ6,10,EQUITY,BSE Sensex
QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF,ICICIPRAMC-ICICIQTY30,10-Aug-23,1,INF109KC18V5,10,EQUITY,Nifty 200 Quality 30
HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF,HDFCAMC-HDFCLIQUID,31-Aug-23,1,INF179KC1JG3,1000,DEBT,Overnight ETFs and Liquid ETF
MIDCAPBETA,UTI Nifty Midcap 150 Exchange Traded Fund (ETF),UTIAMC-MIDCAPBETA,05-Sep-23,1,INF789F1AYX9,10,EQUITY,Nifty Midcap 150
SENSEXETF,Mirae Asset S&P BSE Sensex ETF,MIRAEAMC-SENSEXETF,06-Oct-23,1,INF769K01KT9,10,EQUITY,BSE Sensex
MONIFTY500,Motilal Oswal Nifty 500 ETF,MOTILALAMC-MONIFTY500,06-Oct-23,1,INF247L01BU1,10,EQUITY,Nifty 500
ITETF,Mirae Asset Nifty IT ETF,MIRAEAMC-ITETF,27-Oct-23,1,INF769K01KV5,10,EQUITY,Nifty IT
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,MIRAEAMC-ALPHAETF,27-Oct-23,1,INF769K01KU7,10,EQUITY,Nifty 200 Alpha 30
LIQUIDSBI,SBI NIFTY 1D Rate ETF,SBIAMC-LIQUIDSBI,02-Nov-23,1,INF200KA13Z8,1000,DEBT,Overnight ETFs and Liquid ETF
EGOLD,Edelweiss Gold ETF,EDELAMC-EGOLD,10-Nov-23,1,INF754K01SE6,10,COMMODITY,GOLD
ESILVER,Edelweiss Silver ETF,EDELAMC-Esilver,24-Nov-23,1,INF754K01SF3,10,COMMODITY,SILVER
BBNPPGOLD,Baroda BNP Paribas Gold ETF,BARODABNP-BBNPPGOLD,19-Dec-23,1,INF251K01SU9,10,COMMODITY,GOLD
TATSILV,Tata Silver Exchange Traded Fund,TATAAML-TATSILV,17-Jan-24,1,INF277KA1984,1,COMMODITY,SILVER
TATAGOLD,Tata Gold Exchange Traded Fund,TATAAML-TATAGOLD,17-Jan-24,1,INF277KA1976,1,COMMODITY,GOLD
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,ZERODHAAMC-LIQUIDCASE,24-Jan-24,1,INF0R8F01034,100,DEBT,Overnight ETFs and Liquid ETF
NIFTYBETF,Bajaj Finserv Nifty 50 ETF,BFAM-NIFTYBETF,29-Jan-24,1,INF0QA701722,10,EQUITY,Nifty 50
BANKBETF,Bajaj Finserv Nifty Bank ETF,BFAM-BANKBETF,29-Jan-24,1,INF0QA701714,10,EQUITY,Nifty Bank
ITBETA,UTI Nifty IT ETF,UTIAMC -ITBETA,01-Feb-24,1,INF789F1AZD8,10,EQUITY,Nifty IT
